OrderID,CustomerID,Region,Category,Sales,Quantity,Profit,OrderDate
1,4174,East,Office Supplies,4855.66,4,680.88,14-01-2024
2,4507,South,Electronics,4895.86,5,1380.81,02-09-2024
3,1860,North,Furniture,738.09,3,1312.95,15-02-2024
4,2294,South,Furniture,609.28,6,1363.36,16-09-2025
5,2130,East,Office Supplies,2122.31,3,1442.9,08-07-2025
6,2095,South,Electronics,4822.05,5,81.11,05-02-2025
7,4772,East,Office Supplies,2061.52,1,49.09,17-02-2024
8,4092,East,Furniture,1882.63,3,527.19,04-12-2025
9,2638,South,Electronics,3547.57,7,971.83,13-02-2025
10,3169,West,Office Supplies,975.78,3,547.48,14-12-2025
11,1466,North,Furniture,1880.29,5,1317,29-03-2025
12,2238,West,Office Supplies,1527.41,7,1019.57,21-05-2024
13,1330,West,Office Supplies,3047.52,2,877.75,25-03-2025
14,2482,South,Office Supplies,897.49,3,-79.24,07-07-2024
15,3135,North,Electronics,2788.64,4,98.07,01-04-2025
16,4444,North,Furniture,4301.98,5,527.86,25-04-2024
17,4171,West,Furniture,2619.44,9,1459.84,28-05-2025
18,3919,South,Furniture,3449.13,9,368.49,13-01-2024
19,4735,North,Furniture,468.72,4,870.96,03-10-2024
20,1130,West,Electronics,2300.13,9,1481.14,08-09-2024
21,2685,North,Office Supplies,564.98,4,248.84,15-08-2024
22,4380,South,Furniture,3037.36,2,83.33,25-05-2024
23,1769,South,Electronics,1477.17,1,728.77,04-08-2024
24,3391,South,Office Supplies,1507.6,7,738.21,20-10-2024
25,2515,North,Electronics,476.16,4,1367.21,07-10-2024
26,4485,East,Electronics,1620.17,8,-155.07,14-06-2024
27,3853,North,Furniture,2582.72,8,492.54,22-05-2024
28,3433,East,Furniture,2964.83,8,330.99,12-05-2025
29,2215,South,Office Supplies,426.66,6,770.79,28-04-2025
30,1955,West,Office Supplies,3292.15,9,-184.14,16-02-2025
31,3324,East,Furniture,2495.49,4,1008.81,06-04-2024
32,2184,South,Electronics,2730.85,5,624.48,04-12-2025
33,1459,South,Furniture,4180.7,4,991.17,14-10-2024
34,4385,East,Office Supplies,1776.91,5,561.27,08-07-2025
35,1021,West,Electronics,952.85,2,606.13,25-09-2024
36,3300,South,Electronics,2803.87,5,1322.43,27-07-2024
37,1747,East,Electronics,4730.61,8,158.53,20-06-2025
38,3904,West,Furniture,2637.56,9,169.73,31-10-2024
39,4632,West,Furniture,4176.37,7,751.11,28-03-2024
40,1474,South,Office Supplies,3809.46,7,922.38,29-04-2024
41,2082,North,Electronics,2639.82,6,402.97,12-08-2024
42,3558,North,Electronics,3273.02,2,683.17,15-05-2024
43,4753,South,Furniture,2092.73,9,187.36,23-12-2025
44,3047,West,Office Supplies,2700.08,5,31.05,16-01-2025
45,4547,South,Office Supplies,2585.7,6,205.05,11-01-2024
46,3747,East,Electronics,3574.64,1,1357.83,14-03-2025
47,1975,North,Furniture,2108.91,5,1163.09,10-01-2024
48,2806,East,Electronics,588.86,6,38.42,10-11-2024
49,1189,South,Furniture,3964.68,2,-120.85,05-03-2024
50,4005,South,Office Supplies,3455.78,7,-41.59,14-08-2025
51,3734,West,Electronics,4755.6,4,298.84,12-04-2025
52,4005,West,Electronics,2200.71,5,1179.31,26-08-2025
53,1562,West,Electronics,483.21,3,346.34,06-10-2025
54,2899,East,Office Supplies,695.93,5,115.61,15-09-2025
55,4638,West,Electronics,3889.27,4,472.93,13-07-2024
56,2267,South,Office Supplies,432.01,6,10.89,17-02-2025
57,3879,West,Furniture,4548.35,2,599.37,21-08-2025
58,2528,North,Office Supplies,1480.09,3,948.44,04-11-2025
59,4202,West,Furniture,4504.51,1,427.04,01-01-2024
60,4556,East,Office Supplies,3890.18,7,95.14,02-01-2025
61,4890,North,Office Supplies,4368.89,9,570.44,22-09-2025
62,1646,North,Electronics,1148.79,2,1096.23,10-01-2025
63,3068,North,Office Supplies,3018.9,7,-69.79,09-07-2024
64,3888,East,Electronics,558.59,3,-79.41,16-10-2024
65,3214,South,Furniture,1091.18,5,340.79,19-09-2025
66,2297,West,Furniture,1618.52,6,505.59,17-07-2024
67,3435,North,Electronics,3729.98,8,168,22-08-2024
68,1600,North,Furniture,221.1,4,-154.25,17-08-2024
69,3363,North,Office Supplies,4525.27,2,173.25,13-08-2024
70,3061,South,Electronics,446.94,3,540.13,05-03-2025
71,1241,South,Electronics,1944.8,8,-64.97,14-07-2024
72,3041,East,Electronics,497.34,7,1017.02,11-04-2025
73,3824,South,Furniture,3867.94,6,738.57,16-03-2025
74,4417,West,Furniture,792.44,5,538.55,05-06-2024
75,3612,East,Office Supplies,4435.31,5,681.81,26-04-2025
76,3945,East,Office Supplies,2698.09,1,914.87,19-12-2024
77,2363,West,Electronics,4747.52,6,1491.16,15-11-2025
78,3139,West,Office Supplies,1522.77,9,1117.7,16-06-2025
79,2390,West,Furniture,2326.15,8,718.62,22-05-2025
80,4003,East,Office Supplies,3501.81,1,1109.91,08-02-2025
81,2478,East,Furniture,4176.38,6,607.88,30-11-2025
82,4499,East,Office Supplies,2164.65,3,328.54,15-10-2024
83,3556,West,Furniture,4472.92,6,245.33,09-11-2025
84,1775,West,Furniture,678.14,9,479.11,02-12-2025
85,1034,North,Office Supplies,3572.56,6,-196.12,30-03-2024
86,3253,South,Office Supplies,1806.18,8,100.83,16-01-2025
87,4152,North,Furniture,596.54,6,15.11,27-10-2024
88,2955,West,Electronics,1994.66,6,1432.58,17-03-2025
89,2585,East,Office Supplies,4413.06,7,-89.76,16-05-2025
90,4943,West,Furniture,4904.62,4,651.65,07-08-2025
91,4459,South,Office Supplies,2024.72,8,1363.52,16-08-2025
92,4073,North,Office Supplies,4443.44,4,832.78,19-01-2025
93,2021,North,Office Supplies,2597.31,7,641.96,06-06-2025
94,4461,East,Office Supplies,3613.37,1,1063.09,16-05-2025
95,3613,North,Office Supplies,322.32,9,400.74,05-09-2024
96,2129,North,Electronics,2830.83,9,129.31,02-11-2025
97,4843,West,Electronics,443.79,7,1240.38,10-09-2025
98,4893,North,Electronics,1416.23,8,-103.81,31-03-2024
99,2500,North,Furniture,2877.39,2,1173.25,16-12-2025
100,1702,North,Electronics,4055.1,7,-24.28,28-01-2025
101,3449,East,Electronics,2848.38,1,863.47,23-12-2024
102,3777,East,Furniture,4687.34,3,610.98,28-05-2024
103,2579,West,Electronics,4070.63,6,1497.52,19-04-2025
104,1161,North,Office Supplies,865.58,5,459.47,08-11-2025
105,1201,East,Electronics,2005.9,5,1427.39,19-09-2025
106,2981,East,Electronics,3375.58,9,486.43,17-03-2025
107,1995,West,Electronics,4698.19,6,958.89,08-01-2024
108,3317,South,Office Supplies,4939.81,3,894.22,16-08-2024
109,4934,North,Office Supplies,3839.61,2,-53.03,10-03-2024
110,1815,East,Office Supplies,2911.47,9,1063.72,03-12-2025
111,4342,West,Office Supplies,3807.39,4,154.73,04-11-2025
112,1455,West,Furniture,1438.86,5,460.35,19-11-2025
113,4533,West,Office Supplies,1489.65,9,1129.74,09-02-2024
114,4798,East,Office Supplies,3306.31,5,1405.33,29-01-2024
115,2275,North,Office Supplies,4371.99,7,751.67,04-06-2025
116,2016,South,Office Supplies,4852.07,2,682.95,03-10-2024
117,4773,North,Furniture,1772.54,2,658.37,14-10-2024
118,3343,West,Electronics,4003.11,4,1188.16,06-08-2025
119,4796,West,Electronics,4272.5,8,1488.3,01-07-2024
120,3767,South,Office Supplies,3153.55,2,877.1,05-06-2025
121,4820,North,Office Supplies,1803.2,7,443.66,19-11-2025
122,1337,West,Office Supplies,3133.53,1,171.73,21-08-2025
123,1878,West,Electronics,2963.8,9,138,24-03-2024
124,2076,North,Electronics,3071.97,6,1255.46,31-01-2025
125,1791,West,Office Supplies,3134.38,1,1487,26-03-2024
126,4993,North,Electronics,4250.59,6,986.58,23-10-2024
127,3264,West,Furniture,933.4,5,1424.91,19-12-2025
128,1763,North,Office Supplies,1899.74,5,394.99,13-10-2024
129,3235,South,Office Supplies,2971.41,5,866.91,18-04-2024
130,1379,West,Furniture,1488.31,4,669.86,27-06-2025
131,1492,South,Furniture,4892.95,7,619.43,13-01-2024
132,4112,West,Electronics,1389.44,9,875.04,11-01-2025
133,2180,West,Furniture,2401.18,4,327.58,12-02-2025
134,3062,East,Office Supplies,4399.09,2,889.06,25-12-2025
135,4884,North,Electronics,492.31,2,943.86,21-09-2025
136,1064,South,Furniture,4121.37,2,1221.39,09-09-2025
137,4928,South,Electronics,2897.94,7,1041.82,15-01-2024
138,4910,South,Electronics,255.83,4,343.62,25-12-2025
139,3568,North,Electronics,4524.27,4,566.36,06-07-2024
140,2367,East,Electronics,292.06,1,4.64,21-08-2024
141,2152,South,Furniture,2624.57,4,237.4,02-04-2025
142,3027,North,Office Supplies,340.25,6,685.61,25-12-2025
143,3695,West,Office Supplies,448.88,2,-28.71,24-05-2024
144,2495,South,Furniture,4447.3,4,770.03,31-05-2025
145,4134,South,Office Supplies,3852.55,7,463.47,20-05-2024
146,2162,East,Electronics,1065.01,9,-140.9,16-06-2025
147,2522,South,Electronics,3140.29,2,538.56,20-09-2025
148,3640,South,Electronics,3993.93,8,277.94,24-04-2024
149,1391,West,Furniture,4458.99,6,-86.14,13-02-2024
150,2698,North,Electronics,2394.7,8,298.73,22-07-2024
151,1418,North,Electronics,4497.75,2,299.96,17-04-2025
152,3336,East,Furniture,2588.47,1,403.63,04-11-2024
153,1378,West,Electronics,3472.32,7,423.01,17-11-2024
154,2796,North,Electronics,4897.24,9,530.61,08-02-2025
155,4561,West,Office Supplies,1256.16,9,-43.67,26-12-2024
156,3278,North,Furniture,925.75,2,-191.03,05-05-2024
157,4065,West,Electronics,1775.89,4,1051.21,29-04-2024
158,3088,East,Electronics,905.56,1,373.49,01-08-2024
159,4099,South,Electronics,1492.4,7,843.14,06-11-2024
160,3182,East,Electronics,3740.63,2,321.96,03-10-2025
161,1200,North,Office Supplies,2439.87,4,1473.12,28-08-2025
162,2863,East,Office Supplies,1937.7,2,336.22,05-03-2024
163,1779,South,Office Supplies,1906.75,1,828.58,31-12-2024
164,3977,East,Office Supplies,1053.2,7,173.95,23-07-2024
165,4104,North,Furniture,2292.32,6,680.26,05-07-2024
166,4119,North,Electronics,3160.71,2,784.86,24-12-2025
167,1502,East,Office Supplies,781.86,4,110.8,03-12-2025
168,3454,South,Electronics,4866.78,3,10.21,17-09-2024
169,4645,East,Furniture,2272.08,3,1455.12,30-03-2024
170,2751,South,Electronics,4745.01,3,1318.55,27-01-2025
171,1804,West,Electronics,759.83,4,922.11,29-05-2024
172,3146,South,Office Supplies,3859.36,1,1263.79,15-02-2025
173,3731,West,Office Supplies,3126.43,1,-37.55,19-03-2025
174,2895,East,Furniture,4118.31,7,1039.94,19-05-2024
175,3773,South,Electronics,3043.32,5,285.53,19-10-2024
176,2570,West,Office Supplies,4817.9,3,717.14,10-04-2025
177,1960,West,Office Supplies,3171.97,9,1100.18,22-09-2025
178,4810,West,Office Supplies,3944.56,5,-143.09,03-09-2024
179,3660,North,Furniture,4400.15,3,981.22,07-04-2024
180,2485,East,Electronics,3601.46,9,539.27,18-06-2024
181,3690,West,Office Supplies,2668.76,1,547.44,05-11-2024
182,4840,South,Electronics,1436.8,9,1342.37,01-03-2025
183,2028,West,Furniture,4287.01,5,1261.55,07-03-2024
184,4289,North,Electronics,2454.83,6,-102.19,25-02-2024
185,1502,East,Office Supplies,3141.47,2,851.14,11-07-2025
186,3814,North,Electronics,488.21,8,540.94,31-05-2025
187,1397,North,Electronics,2537.02,3,0.28,21-07-2025
188,1870,North,Furniture,3520.97,1,1246.79,30-05-2024
189,3842,South,Furniture,2961.95,7,-78.43,13-11-2024
190,1392,East,Electronics,2297.92,3,-145.43,20-05-2024
191,1206,East,Electronics,1194.79,4,135.78,10-11-2024
192,2038,South,Electronics,1617.38,5,315.74,06-01-2024
193,2881,East,Furniture,3533.06,1,-96.5,07-07-2024
194,4625,North,Furniture,1198.53,9,890.23,12-11-2024
195,3939,East,Electronics,3146.46,7,543.16,15-11-2025
196,2484,South,Furniture,2989.71,2,500.72,27-08-2025
197,4762,North,Office Supplies,4855.05,1,47.08,07-06-2025
198,4646,South,Furniture,397.83,2,544.24,11-06-2024
199,1863,West,Furniture,629.8,3,463.28,02-01-2025
200,3790,North,Furniture,2579.81,3,452.19,31-05-2025
201,4312,North,Office Supplies,2682.84,8,171.56,06-03-2024
202,1563,East,Office Supplies,295.65,5,-39.46,15-12-2025
203,2020,North,Office Supplies,4146.69,9,243.2,19-11-2024
204,1095,South,Electronics,2524.15,3,934.36,11-07-2024
205,2923,East,Electronics,1798.55,6,-76.03,30-12-2024
206,2757,West,Office Supplies,1662.38,4,449.95,04-01-2025
207,3532,South,Electronics,4320.9,8,674.44,01-12-2024
208,4478,West,Electronics,1063.99,1,1437.36,31-07-2025
209,3278,West,Electronics,886.05,4,1234.5,11-11-2025
210,3796,West,Office Supplies,1144.57,7,1358.24,28-10-2025
211,2678,North,Furniture,3162.61,9,1194,10-08-2025
212,4242,South,Office Supplies,4073.56,1,801.49,12-05-2024
213,1540,South,Office Supplies,1721.8,8,1263.34,20-05-2024
214,2059,North,Electronics,949.96,2,760.92,01-12-2024
215,3572,East,Electronics,1125.05,4,408.17,13-05-2025
216,2183,West,Furniture,3134,4,432.98,10-10-2025
217,4910,South,Furniture,1305.57,8,761.28,24-06-2024
218,2722,North,Furniture,4398.67,2,1176.05,05-02-2024
219,4314,West,Furniture,609.07,7,27.21,22-05-2024
220,4157,East,Office Supplies,258.61,3,-133.25,10-10-2025
221,2819,East,Furniture,533.05,9,1142.27,11-06-2025
222,3625,West,Office Supplies,4243.65,5,900.91,18-05-2025
223,3729,East,Electronics,3291.02,8,1196.23,06-01-2024
224,3604,South,Furniture,4792.95,5,1460.35,06-08-2025
225,2597,South,Electronics,1747.85,1,227.37,03-11-2025
226,4060,South,Electronics,1142.12,9,130.3,11-08-2024
227,3693,East,Office Supplies,2853.68,7,379.66,21-12-2024
228,1795,South,Furniture,2735.36,4,1292.54,05-02-2024
229,2051,North,Office Supplies,2996.02,7,-176.26,29-06-2025
230,2643,South,Electronics,1802.92,5,-182.1,08-06-2025
231,4627,South,Furniture,128.9,9,168.54,14-12-2025
232,2363,East,Electronics,271.66,2,439.06,26-02-2024
233,4869,South,Electronics,3352.75,4,313.99,07-01-2024
234,2981,West,Furniture,2663.96,6,1202.36,18-03-2025
235,2354,North,Furniture,4122.96,5,972.53,10-11-2024
236,2663,East,Furniture,1572.01,1,1224.32,20-04-2024
237,2529,North,Office Supplies,4095.81,9,452.39,25-04-2024
238,3038,West,Office Supplies,2184.91,9,812.88,02-11-2024
239,4419,East,Electronics,573.82,3,676.27,28-10-2025
